PERMIT TYPE,PERMIT #,PROJECT NAME,WORK TYPE,ADDRESS,LOCATION,X_COORD,Y_COORD,DATE SUBMITTED,DATE ISSUED,DECLARED VALUATION,AREA (SF),PRIMARY CONTACT,CD,NCD,HD
Comm Sitework Permit,COM-SIT-PMT23-40100002,Site Work - 1619 W Travis St - Sitework Permit,New,"1619 W TRAVIS ST, City of San Antonio, TX 78207",,-98.51261,29.428832,2022-08-29,2023-01-02,90000,1300,Mint Development LLC,5,,
Electrical General Permit,COM-SIT-PMT23-40100002,Site Work - 1619 W Travis St - Sitework Permit,New,"1619 W TRAVIS ST, City of San Antonio, TX 78207",,-98.51261,29.428832,2022-08-29,2023-01-02,,,Mint Development LLC,5,,
Plumbing General Permit,COM-SIT-PMT23-40100002,Site Work - 1619 W Travis St - Sitework Permit,New,"1619 W TRAVIS ST, City of San Antonio, TX 78207",,-98.51261,29.428832,2022-08-29,2023-01-02,,,Mint Development LLC,5,,
Plumbing Irrigation Permit,COM-SIT-PMT23-40100002,Site Work - 1619 W Travis St - Sitework Permit,New,"1619 W TRAVIS ST, City of San Antonio, TX 78207",,-98.51261,29.428832,2022-08-29,2023-01-02,,,Mint Development LLC,5,,
Plumbing Sewer Permit,COM-SIT-PMT23-40100002,Site Work - 1619 W Travis St - Sitework Permit,New,"1619 W TRAVIS ST, City of San Antonio, TX 78207",,-98.51261,29.428832,2022-08-29,2023-01-02,,,Mint Development LLC,5,,
Demolition Permit,DEM-DEM-PMT23-39200195,5723 ALNWICK,,"5723 ALNWICK, City of San Antonio, TX 78228",,2095682.7,13709866,2022-04-12,2023-01-02,,1200,Gillermo Zertuche,7,,
Demolition Permit,DEM-DEM-PMT23-39200599,8755 IH 10,,"8757 IH 10 E, City of San Antonio, TX 78109",,2186376.9,13715513.6,2022-12-12,2023-01-02,,4000,FLASH DEMOLITION,2,,
LSR Mechanical Permit,LSR-MECH-23-39600001,,,"11910 OAK WATER, City of San Antonio, TX 78249",,2079716.3,13749966.7,2023-01-02,2023-01-02,,,Rob Ferguson,8,,
LSR Mechanical Permit,LSR-MECH-23-39600002,,,"12803 VIDORRA VISTA DR, City of San Antonio, TX 78216",,2122859.8,13751836.6,2023-01-02,2023-01-02,,,Rob Ferguson,9,,
LSR Mechanical Permit,LSR-MECH-23-39600003,,,"11015 CHICORY FIELD, City of San Antonio, TX 78023",,2065770.9,13746240.5,2023-01-02,2023-01-02,,,DONALD RACKLER,7,,
LSR Mechanical Permit,LSR-MECH-23-39600009,,,"8015 RIO NIEBLA, City of San Antonio, TX 78249",,2081405.8,13746675.6,2023-01-02,2023-01-02,,,"JEREMY T ROBERDS, SA SPECIALTIE",8,,
LSR Mechanical Permit,LSR-MECH-23-39600010,,,"9531 WICKLOW, City of San Antonio, TX 78250",,2072885.7,13731418.7,2023-01-02,2023-01-02,,,"JEREMY T ROBERDS, SA SPECIALTIE",6,,
LSR Mechanical Permit,LSR-MECH-23-39600011,,,"9503 ASHSTONE HILL, City of San Antonio, TX 78254",,2073144.8,13745367.7,2023-01-02,2023-01-02,,,"JEREMY T ROBERDS, SA SPECIALTIE",7,,
LSR Plumbing Permit,LSR-PLUMB-23-39700004,,,"2518 MOUNTAIN HOME, City of San Antonio, TX 78251",,2072580.2,13715195.5,2023-01-02,2023-01-02,,,"WALTER J SUAREZ, A & A PLUMBING LLC",6,,
LSR Plumbing Permit,LSR-PLUMB-23-39700005,,,"5931 LITTLE BRANDYWINE, City of San Antonio, TX 78233",,2168435.7,13750486.8,2023-01-02,2023-01-02,,,"WALTER J SUAREZ, A & A PLUMBING LLC",10,,
LSR Plumbing Permit,LSR-PLUMB-23-39700006,,,"14315 BRANGUS, City of San Antonio, TX 78247",,2163755.3,13756141.5,2023-01-02,2023-01-02,,,"WALTER J SUAREZ, A & A PLUMBING LLC",10,,
LSR Plumbing Permit,LSR-PLUMB-23-39700007,,,"8030 RIO NIEBLA, City of San Antonio, TX 78249",,2081201.2,13746504,2023-01-02,2023-01-02,,,Theresa McFaul,8,,
LSR Plumbing Permit,LSR-PLUMB-23-39700008,,,"13278 HUNTERS LARK, City of San Antonio, TX 78230",,2111800.7,13754877.7,2023-01-02,2023-01-02,,,"WALTER J SUAREZ, A & A PLUMBING LLC",8,,
Plumbing Backflow Permit,MEP-BCK-PMT23-34000024,IRRIGATION SYSTEM,,"1010 CLOUD HAWK, City of San Antonio ETJ, TX 78260",,2126118.8,13800285.4,2023-01-02,2023-01-02,,,"BENITO C PENA, BENNY'S LAWN & GARDEN SERVICE",0,,
Plumbing Backflow Permit,MEP-BCK-PMT23-34000025,IRRIGATION SYSTEM,,"26618 WHITE EAGLE DR, City of San Antonio ETJ, TX 78260",,2126159,13800564,2023-01-02,2023-01-02,,,"BENITO C PENA, BENNY'S LAWN & GARDEN SERVICE",0,,
Plumbing Backflow Permit,MEP-BCK-PMT23-34041648,MAJESTIC RPZ 2022,,"224 E HOUSTON ST, City of San Antonio, TX 78205",,2130638.7,13702907.8,2022-12-27,2023-01-02,,,"GEORGE L SALIBA, GEORGE PLUMBING COMPANY, INC.",1,,
Electrical Completion Permit,MEP-ECP-PMT23-33241517,Completion permit for Nottingham,,"522 E NOTTINGHAM, City of San Antonio, TX 78209",,2141566,13729495.8,2022-12-23,2023-01-02,,,Jesus Fernandez,10,,
Electrical General Permit,MEP-ELE-PMT23-33300006,C&S Electric inc,,"707 ROBINHOOD, City of San Antonio, TX 78209",,2143164.8,13729369.6,2023-01-02,2023-01-02,,,"Chris Braziel, C & S ELECTRIC",10,,
Electrical General Permit,MEP-ELE-PMT23-33300008,Raul Gomez,,"1503 SLUMBER PASS, City of San Antonio ETJ, TX 78260",,2123633.1,13798254.5,2023-01-02,2023-01-02,,,Raul Gomez,0,,
Electrical General Permit,MEP-ELE-PMT23-33300009,Raul Gomez,,"26915 ADONIS, City of San Antonio ETJ, TX 78260",,2127672.3,13801872.5,2023-01-02,2023-01-02,,,Raul Gomez,0,,
Electrical General Permit,MEP-ELE-PMT23-33300026,Cascue,,"24415 CLIFF LINE, City of San Antonio, TX 78257",,2088093.3,13790159.3,2023-01-02,2023-01-02,,,"Stacey Burns, ARROW ELECTRICAL SERVICES",8,,
Electrical General Permit,MEP-ELE-PMT23-33300028,1230 lander,,"1230 FLANDERS AVE, City of San Antonio, TX 78211",,2119800.7,13683961,2023-01-02,2023-01-02,,,michael espinosa,5,,
Electrical General Permit,MEP-ELE-PMT23-33300035,Deepwell,,"7903 DEEPWELL DR, City of San Antonio, TX 78254",,2047947.2,13734025.1,2023-01-02,2023-01-02,,,Nicolas Espinoza,6,,
Electrical General Permit,MEP-ELE-PMT23-33300037,Upgrade Meter Loop,,"2402 W MARTIN ST, City of San Antonio, TX 78207",,2121722.4,13704636.9,2023-01-02,2023-01-02,,,Antonio Espericueta,1,,
Electrical General Permit,MEP-ELE-PMT23-33300042,ELELCTRICAL,,"15123 OAKMERE, City of San Antonio, TX 78232",,2141420.2,13758395.8,2023-01-02,2023-01-02,,,"CHRISTIAN SILVA, SILCO ELECTRIC",9,,
Electrical General Permit,MEP-ELE-PMT23-33300043,B,,"2919 OBSERVATION DR, City of San Antonio, TX 78227",,2080814.5,13692895.8,2023-01-02,2023-01-02,,,CHRISTOPHER BINGHAM,4,,
Electrical General Permit,MEP-ELE-PMT23-33341623,623 Eleanor,,"623 ELEANOR, City of San Antonio, TX 78209",,2140237.4,13713290.6,2022-12-27,2023-01-02,,,Travis electric,2,NCD-6 Mahncke Park,
Electrical General Permit,MEP-ELE-PMT23-33341663,Repair Conduit,,"5101 CAMBRAY DR, City of San Antonio, TX 78229",,2100092.2,13726515.8,2022-12-27,2023-01-02,,,"LLOYD L QUINNEY, STATE MASTER ELECTRICIAN LIC.",7,,
Electrical General Permit,MEP-ELE-PMT23-33341667,Electrical new Addition,,"8602 SILVER QUAIL, City of San Antonio, TX 78250",,2080671.3,13730674.9,2022-12-27,2023-01-02,,,"MACARIO ROBLEDO, MAC'S ELECTRIC",6,,
Electrical General Permit,MEP-ELE-PMT23-33341704,Vollyball Club,,"900 E MARKET ST, City of San Antonio, TX 78205",,2133156.3,13701060.1,2022-12-28,2023-01-02,,,"FREEMAN EXPOSITIONS, INC.",1,,Hemisfair
Electrical General Permit,MEP-ELE-PMT23-33341705,NCAA Convention,,"900 E MARKET ST, City of San Antonio, TX 78205",,2133156.3,13701060.1,2022-12-28,2023-01-02,,,"FREEMAN EXPOSITIONS, INC.",1,,Hemisfair
Electrical General Permit,MEP-ELE-PMT23-33341796,rosewood,,"1438 W ROSEWOOD AVE, City of San Antonio, TX 78201",,2121090.5,13716515.6,2022-12-28,2023-01-02,,,"MIGUEL PRIETO JR, KINGDOM ELECTRIC, LLC",1,,Keystone Park
Electrical General Permit,MEP-ELE-PMT23-33341886,WO37031 12349 IH35,,"12349 N IH 35, City of San Antonio, TX 78233",,2172905.6,13749205.4,2022-12-29,2023-01-02,,,"MICHAEL A BOUCHARD, WALKER ENGINEERING",10,,
Electrical General Permit,MEP-ELE-PMT23-33341939,Joe Bebee,,"7151 WOODLAKE, City of San Antonio, TX 78218",,2172045,13728557,2022-12-30,2023-01-02,,,"JOE ALLEN BEBEE, ALLEN BEBEE ELECTRIC",2,,
Electrical General Permit,MEP-ELE-PMT23-33341941,Joe Bebee,,"7151 WOODLAKE, City of San Antonio, TX 78218",,2172045,13728557,2022-12-30,2023-01-02,,,"JOE ALLEN BEBEE, ALLEN BEBEE ELECTRIC",2,,
Electrical General Permit,MEP-ELE-PMT23-33341944,Joe Bebee,,"7151 WOODLAKE, City of San Antonio, TX 78218",,2172045,13728557,2022-12-30,2023-01-02,,,"JOE ALLEN BEBEE, ALLEN BEBEE ELECTRIC",2,,
Electrical General Permit,MEP-ELE-PMT23-33341948,Joe Bebee,,"7151 WOODLAKE, City of San Antonio, TX 78218",,2172045,13728557,2022-12-30,2023-01-02,,,"JOE ALLEN BEBEE, ALLEN BEBEE ELECTRIC",2,,
Electrical General Permit,MEP-ELE-PMT23-33341950,Joe Bebee,,"7151 WOODLAKE, City of San Antonio, TX 78218",,2172045,13728557,2022-12-30,2023-01-02,,,"JOE ALLEN BEBEE, ALLEN BEBEE ELECTRIC",2,,
Electrical General Permit,MEP-ELE-PMT23-33341983,Torah School Bldg,,"3003 SHOLOM DR, City of San Antonio, TX 78230",,2113349.5,13754928.4,2022-12-30,2023-01-02,,,Mark Matheny,8,,
Plumbing Gas Permit,MEP-GAS-PMT23-34200010,Plumbing Gas Permit,,"15939 ALSACE, City of San Antonio, TX 78232",,2125469.7,13763155.6,2023-01-02,2023-01-02,,,"Livingston Contracting, LLC",9,,
Plumbing Gas Permit,MEP-GAS-PMT23-34200040,Victor Kelly,,"6118 WILLOW POINT BLVD, City of San Antonio, TX 78219",,2170285.2,13705209.2,2023-01-02,2023-01-02,,,"CAROLINA A MARTINEZ, CAROLINA'S PLUMBING SERVICE",2,,
Plumbing Gas Permit,MEP-GAS-PMT23-34200045,Pedro Valdes,,"3507 WINDY RIDGE COURT, City of San Antonio, TX 78259",,2149310.5,13781345.6,2023-01-02,2023-01-02,,,Pedro Valdes,9,,
Plumbing Gas Permit,MEP-GAS-PMT23-34241653,Gas Line Addition,,"529 N PALMETTO, City of San Antonio, TX 78202",,2138498.6,13702880.2,2022-12-27,2023-01-02,,,PETER MATTHEW SMITH,2,,Dignowity Hill
Plumbing Irrigation Permit,MEP-IRR-PMT23-34400038,IRRIGATION SYSTEM,,"26642 WHITE EAGLE DR, City of San Antonio ETJ, TX 78260",,2126360.1,13800595.5,2023-01-02,2023-01-02,,,"BENITO C PENA, BENNY'S LAWN & GARDEN SERVICE",,,
Plumbing Irrigation Permit,MEP-IRR-PMT23-34441614,12508 BERGMAN,,"12508 BERGMAN, SAN ANTONIO, TX 78254",,,,2022-12-27,2023-01-02,,,LANDSCAPE OF TEXAS/SMITH&SONS,0,,
Plumbing Irrigation Permit,MEP-IRR-PMT23-34441876,"8851 OAKLAND BLVD, UNIT 1",,"8851 OAKLAND RD, City of San Antonio, TX 78240",,2096920.6,13738524.8,2022-12-29,2023-01-02,,,"RICHARD J NARUM, 3-D LANDSCAPING LLC",8,,
Plumbing Irrigation Permit,MEP-IRR-PMT23-34441877,"8851 OAKLAND BLVD, UNIT 2",,"8851 OAKLAND RD, City of San Antonio, TX 78240",,2096920.6,13738524.8,2022-12-29,2023-01-02,,,"RICHARD J NARUM, 3-D LANDSCAPING LLC",8,,
Plumbing Irrigation Permit,MEP-IRR-PMT23-34441879,"8851 OAKLAND BLVD, UNIT 3",,"8851 OAKLAND RD, City of San Antonio, TX 78240",,2096920.6,13738524.8,2022-12-29,2023-01-02,,,"RICHARD J NARUM, 3-D LANDSCAPING LLC",8,,
Mechanical Permit,MEP-MEC-PMT23-33900011,HVAC System change out with duct work,,"346 ALLSUP, City of San Antonio, TX 78237",,2107480.3,13706872,2023-01-02,2023-01-02,,,Rob Ferguson,5,,
Mechanical Permit,MEP-MEC-PMT23-33900015,Mechanical,,"1814 BARNEY AVE, City of San Antonio, TX 78237",,2106061.2,13697282.2,2023-01-02,2023-01-02,,,Moreno's Unlimited A/C Repair,5,,
Mechanical Permit,MEP-MEC-PMT23-33900020,JOB#584374256,,"5907 CYPRESS BEND, City of San Antonio, TX 78247",,2166958.3,13762856.8,2023-01-02,2023-01-02,,,ELMER L ZUBIATE,10,,
Mechanical Permit,MEP-MEC-PMT23-33900022,JOB#584375280,,"8502 TIMBER WEST, City of San Antonio, TX 78250",,2078501.1,13726830.2,2023-01-02,2023-01-02,,,ELMER L ZUBIATE,6,,
Mechanical Permit,MEP-MEC-PMT23-33900023,2605 JUPE,,"2605 JUPE DR, City of San Antonio, TX 78222",,2158670.9,13691609.8,2023-01-02,2023-01-02,,,"JUAN J ESCALERA, ESCALERA'S AIR CONDITION & REF",3,,
Mechanical Permit,MEP-MEC-PMT23-33900046,hvac SYSTEM,,"9507 SHOWBOAT DOCK, City of San Antonio, TX 78223",,2148341.9,13665880.4,2023-01-02,2023-01-02,,,Omar Rodriguez,3,,
Mechanical Permit,MEP-MEC-PMT23-33900047,AFF - 2102 CALLE VALENCIA,,"2102 CALLE VALENCIA, City of San Antonio, TX 78237",,2105637.2,13696223.7,2023-01-02,2023-01-02,,,Omar Rodriguez,5,,
Mechanical Permit,MEP-MEC-PMT23-33941561,William Rankin,,"141 E HOLLYWOOD AVE, City of San Antonio, TX 78212",,2130003.8,13716751.8,2022-12-23,2023-01-02,,,Luke Zimmermann,1,,Monte Vista
Mechanical Permit,MEP-MEC-PMT23-33941600,Tejadilla,,"309 WICKES, City of San Antonio, TX 78210",,2130234.4,13696500.9,2022-12-27,2023-01-02,,,DAVID W WILKS,1,,King William
Mechanical Permit,MEP-MEC-PMT23-33941641,Boyd Downstairs,,"328 E LULLWOOD AVE, City of San Antonio, TX 78212",,2131559,13717224,2022-12-27,2023-01-02,,,MATTHEW GESSNER,1,,Monte Vista
Mechanical Permit,MEP-MEC-PMT23-33941665,Mary Archer Job # 107119075,,"9111 AUTUMN LEAF, City of San Antonio, TX 78217",,2149938.6,13737989.5,2022-12-27,2023-01-02,,,"SHAFER SERVICES, SHAFER SERVICES INC.",10,,
Mechanical Permit,MEP-MEC-PMT23-33941747,Arthur Ceniceros,,"1422 W LYNWOOD, City of San Antonio, TX 78201",,2121291.9,13716214.6,2022-12-28,2023-01-02,,,"GABRIEL PLAZA, GABE'S PRIORITY AC SERVICE",1,,Keystone Park
Mechanical Permit,MEP-MEC-PMT23-33941791,Kester Replacement,,"108 W KINGS HWY, City of San Antonio, TX 78212",,2129456.7,13714990.1,2022-12-28,2023-01-02,,,DAVID W WILKS,1,,Monte Vista
Mechanical Permit,MEP-MEC-PMT23-33941931,mitchell connerton,,"45 FERRIS CREEK, City of San Antonio, TX 78254",,2074662.4,13744018.5,2022-12-30,2023-01-02,,,"WILLIAM W HAWKINS, ALL PRO CONSTRUCTION",7,,
Mechanical Permit,MEP-MEC-PMT23-33941987,TORRES,,"306 E MYRTLE, City of San Antonio, TX 78212",,2130373.1,13709499.3,2022-12-30,2023-01-02,,,Michael Glowka,1,,Tobin Hill
Plumbing General Permit,MEP-PLM-PMT23-34300002,419 monumental,,"419 N MONUMENTAL, City of San Antonio, TX 78202",,2137753.3,13702264.6,2023-01-01,2023-01-02,,,Guillermo R Saavedra,2,,Dignowity Hill
Plumbing General Permit,MEP-PLM-PMT23-34300007,Job #584416126,,"111 MEADOW GLEN DR, City of San Antonio, TX 78227",,2082843.6,13702280.1,2023-01-02,2023-01-02,,,Jerry Cross,6,,
Plumbing General Permit,MEP-PLM-PMT23-34300013,PLUMBING,,"7735 SANDIA BLUFF, City of San Antonio, TX 78240",,2083421.2,13744128.6,2023-01-02,2023-01-02,,,"SHAUN L NEIDIG, ""WILL"" FIX IT",8,,
Plumbing General Permit,MEP-PLM-PMT23-34300014,Plumbing General Permit,,"7126 SPRING TERRACE, City of San Antonio, TX 78249",,2086204.1,13745828.9,2023-01-02,2023-01-02,,,HILDA PENATE,8,,
Plumbing General Permit,MEP-PLM-PMT23-34300016,PLUMBING,,"8902 NORHAM HEIGHTS, City of San Antonio, TX 78254",,2076488.7,13739209.9,2023-01-02,2023-01-02,,,"SHAUN L NEIDIG, ""WILL"" FIX IT",7,,
Plumbing General Permit,MEP-PLM-PMT23-34300017,PLUMBING,,"4535 WRANGLER VIEW, City of San Antonio, TX 78223",,2159781.4,13653216.6,2023-01-02,2023-01-02,,,"SHAUN L NEIDIG, ""WILL"" FIX IT",3,,
Plumbing General Permit,MEP-PLM-PMT23-34300018,JASON ROWLEY,,"506 GOULD ST, City of San Antonio, TX 78207",,2117145.6,13704819.1,2023-01-02,2023-01-02,,,"WILLIAM W HAWKINS, ALL PRO CONSTRUCTION",5,,
Plumbing General Permit,MEP-PLM-PMT23-34300019,PLUMBING,,"9383 VALLEY GATE, City of San Antonio, TX 78250",,2067710.5,13730583.5,2023-01-02,2023-01-02,,,"SHAUN L NEIDIG, ""WILL"" FIX IT",6,,
Plumbing General Permit,MEP-PLM-PMT23-34300021,1307 Fenfield,,"1307 FENFIELD AVE, City of San Antonio, TX 78211",,2107022.7,13679873,2023-01-02,2023-01-02,,,Johnny's Plumbing & Backflow Service,4,,
Plumbing General Permit,MEP-PLM-PMT23-34300027,Thompson 952,,"952 W THOMPSON PLACE, City of San Antonio, TX 78226",,2115039.8,13691451.1,2023-01-02,2023-01-02,,,"GEORGE MEDINA, GEORGE'S SEWER SERVICE",5,,
Plumbing General Permit,MEP-PLM-PMT23-34300031,PLUMBING,,"8819 ROQUEFORT, City of San Antonio, TX 78250",,2072096.3,13736933.5,2023-01-02,2023-01-02,,,"SHAUN L NEIDIG, ""WILL"" FIX IT",6,,
Plumbing General Permit,MEP-PLM-PMT23-34300032,Pedro Valdes,,"4742 CASA ORO, City of San Antonio, TX 78233",,2159924.7,13746593.6,2023-01-02,2023-01-02,,,Pedro Valdes,10,,
Plumbing General Permit,MEP-PLM-PMT23-34300036,4323 factory hill,,"4323 FACTORY HILL, City of San Antonio, TX 78219",,2156432.3,13710817.8,2023-01-02,2023-01-02,,,DAVID L CROSS,2,,
Plumbing General Permit,MEP-PLM-PMT23-34300041,Sandra Cristopher,,"118 WESTKNOLL, City of San Antonio, TX 78227",,2085296.7,13696263.6,2023-01-02,2023-01-02,,,"CAROLINA A MARTINEZ, CAROLINA'S PLUMBING SERVICE",6,,
Plumbing General Permit,MEP-PLM-PMT23-34300044,Plumbing permit,,"3415 SPANISH TRACE, City of San Antonio, TX 78222",,2166108,13688766,2023-01-02,2023-01-02,,,Jeremy Joseph Boon,,,
Plumbing General Permit,MEP-PLM-PMT23-34341583,Diane Miller,,"8218 GOLDEN HARVEST, City of San Antonio, TX 78250",,2079354.4,13721367.3,2022-12-26,2023-01-02,,,"WILLIAM W HAWKINS, ALL PRO CONSTRUCTION",6,,
Plumbing General Permit,MEP-PLM-PMT23-34341638,Harlin Womble,,"401 MARY LOUISE, City of San Antonio, TX 78201",,2117475.6,13717107,2022-12-27,2023-01-02,,,"WILLIAM W HAWKINS, ALL PRO CONSTRUCTION",7,,Monticello Park
Plumbing General Permit,MEP-PLM-PMT23-34341686,"MARTIN,PAUL",,"207 E MULBERRY AVE, City of San Antonio, TX 78212",,2130441.6,13714053.3,2022-12-28,2023-01-02,,,"Gerald Cortez, JON WAYNE HEAT, ELCT& A/C,LTD.",1,,Monte Vista
Plumbing General Permit,MEP-PLM-PMT23-34341740,2406 Indian Forest,,"2406 INDIAN FOREST, City of San Antonio, TX 78244",,2168999.2,13712180.2,2022-12-28,2023-01-02,,,DUPURE INTERNATIONAL,2,,
Plumbing General Permit,MEP-PLM-PMT23-34341807,222 W WOODLAWN AVE,,"222 W WOODLAWN AVE, City of San Antonio, TX 78212",,2128713.4,13712456.9,2022-12-29,2023-01-02,,,"JULIE GUITERREZ, GREEN WATER TECHNOLOGIES INC",1,,Monte Vista
Plumbing General Permit,MEP-PLM-PMT23-34341842,146 Crofton-,,"146 CROFTON, City of San Antonio, TX 78210",,2129831.6,13696121.9,2022-12-29,2023-01-02,,,"Arturo Garza, Stream Flow Plumbing",1,,King William
Plumbing General Permit,MEP-PLM-PMT23-34341898,water line replacement,,"529 N PALMETTO, City of San Antonio, TX 78202",,2138498.6,13702880.2,2022-12-29,2023-01-02,,,PETER MATTHEW SMITH,2,,Dignowity Hill
Plumbing General Permit,MEP-PLM-PMT23-34341974,YES Communities - Woodlake Estates Lot 334,,"7151 WOODLAKE, City of San Antonio, TX 78218",,2172045,13728557,2022-12-30,2023-01-02,,,CONNALLY PLUMBING INC,2,,
Plumbing General Permit,MEP-PLM-PMT23-34341975,PLUMBING,,"4603 HARVEST MEADOW, City of San Antonio, TX 78250",,2078909.5,13721630.6,2022-12-30,2023-01-02,,,"SHAUN L NEIDIG, ""WILL"" FIX IT",6,,
Plumbing General Permit,MEP-PLM-PMT23-34341978,YES Communities - Woodlake Estates Lot 441,,"7151 WOODLAKE, City of San Antonio, TX 78218",,2172045,13728557,2022-12-30,2023-01-02,,,CONNALLY PLUMBING INC,2,,
Plumbing General Permit,MEP-PLM-PMT23-34341990,General Plumbing,,"602 E DEWEY PLACE, City of San Antonio, TX 78212",,2131554.1,13710330.2,2022-12-31,2023-01-02,,,Leandro Torres Jr,1,,Tobin Hill
Plumbing Sewer Permit,MEP-SEW-PMT23-34800012,RICHARD RAMIREZ,,"2914 LOMBRANO ST, City of San Antonio, TX 78228",,2111583.7,13709806,2023-01-02,2023-01-02,,,"WILLIAM W HAWKINS, ALL PRO CONSTRUCTION",5,,
Plumbing Sewer Permit,MEP-SEW-PMT23-34841570,Plumbing,,"13902 MARBLE TREE, City of San Antonio, TX 78247",,2143373.7,13754251.2,2022-12-26,2023-01-02,,,"SHAUN L NEIDIG, ""WILL"" FIX IT",10,,
